Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB379914,08/05/2018 03:23:00 AM,034XX N HALSTED ST,0460,BATTERY,SIMPLE,STREET,false,false,1924,44,08B,1170308,1923273,2018,41.944953005,-87.649416212,"(41.944953005, -87.649416212)"
JB379886,08/05/2018 03:25:00 AM,004XX E 43RD ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,true,0214,3,04B,1179789,1876593,2018,41.816647898,-87.616002363,"(41.816647898, -87.616002363)"
JB380182,08/05/2018 03:30:00 AM,0000X W 26TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0133,3,14,1176575,1887109,2018,41.845577671,-87.627475027,"(41.845577671, -87.627475027)"
JB379949,08/05/2018 03:30:00 AM,031XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1134,24,08B,1155457,1897193,2018,41.873699424,-87.704705156,"(41.873699424, -87.704705156)"
JB379883,08/05/2018 03:35:00 AM,0000X W HUBBARD ST,0320,ROBBERY,STRONGARM - NO WEAPON,VEHICLE NON-COMMERCIAL,false,false,1831,42,03,1176050,1903312,2018,41.890051565,-87.62891376,"(41.890051565, -87.62891376)"
JB379881,08/05/2018 03:40:00 AM,051XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,POLICE FACILITY/VEH PARKING LOT,true,false,0225,3,08B,1175826,1871120,2018,41.80171934,-87.630703621,"(41.80171934, -87.630703621)"
JB379876,08/05/2018 03:44:00 AM,050XX W DIVISION ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,2533,37,08B,1142346,1907517,2018,41.902283133,-87.752586366,"(41.902283133, -87.752586366)"
JB379878,08/05/2018 03:45:00 AM,058XX S TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0824,14,08B,1156383,1865700,2018,41.787260112,-87.702154868,"(41.787260112, -87.702154868)"
JB380264,08/05/2018 03:50:00 AM,022XX S HAMLIN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,1013,22,26,1151390,1888865,2018,41.850927185,-87.71985579,"(41.850927185, -87.71985579)"
JB379885,08/05/2018 03:50:00 AM,033XX W EVERGREEN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1422,26,06,1153773,1908780,2018,41.905528975,-87.710579266,"(41.905528975, -87.710579266)"
JB389219,08/05/2018 04:00:00 AM,011XX S KEELER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1132,24,07,1148562,1894614,2018,41.866758123,-87.730086988,"(41.866758123, -87.730086988)"
JB380543,08/05/2018 04:00:00 AM,008XX N HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1112,27,14,1149903,1905315,2018,41.896096883,-87.72488546,"(41.896096883, -87.72488546)"
JB380440,08/05/2018 04:00:00 AM,018XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1223,2,08B,1164254,1899585,2018,41.880081938,-87.672339218,"(41.880081938, -87.672339218)"
JB380360,08/05/2018 04:00:00 AM,049XX S KEDZIE AVE,0880,THEFT,PURSE-SNATCHING,CTA PLATFORM,false,false,0821,14,06,1155873,1871845,2018,41.804133114,-87.703859846,"(41.804133114, -87.703859846)"
JB380407,08/05/2018 04:00:00 AM,031XX N KIMBALL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1412,35,14,1153177,1920693,2018,41.938231105,-87.712451748,"(41.938231105, -87.712451748)"
JB379984,08/05/2018 04:00:00 AM,081XX S MAPLEWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0835,18,05,1160782,1850429,2018,41.745264523,-87.686446666,"(41.745264523, -87.686446666)"
JB380032,08/05/2018 04:00:00 AM,005XX E 74TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0323,6,14,1180951,1856063,2018,41.760284994,-87.61237142,"(41.760284994, -87.61237142)"
JB380031,08/05/2018 04:00:00 AM,005XX E 74TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0323,6,14,1180951,1856063,2018,41.760284994,-87.61237142,"(41.760284994, -87.61237142)"
JB380030,08/05/2018 04:00:00 AM,021XX N CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,2522,31,14,1144050,1913615,2018,41.918984872,-87.746173905,"(41.918984872, -87.746173905)"
JB379913,08/05/2018 04:00:00 AM,015XX S RIDGEWAY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1014,24,15,1151626,1892250,2018,41.8602114,-87.718900712,"(41.8602114, -87.718900712)"
JB379964,08/05/2018 04:00:00 AM,008XX N HARDING AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,1112,27,04B,1149903,1905321,2018,41.896113347,-87.724885304,"(41.896113347, -87.724885304)"
JB379973,08/05/2018 04:00:00 AM,015XX N HONORE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1424,1,03,1163780,1910430,2018,41.909851453,-87.673773564,"(41.909851453, -87.673773564)"
JB379901,08/05/2018 04:01:00 AM,041XX S MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,0921,12,08B,1160051,1877054,2018,41.818342272,-87.688393462,"(41.818342272, -87.688393462)"
JB379921,08/05/2018 04:10:00 AM,023XX N MILWAUKEE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1414,35,03,1157283,1915174,2018,41.923003976,-87.697511683,"(41.923003976, -87.697511683)"
JB379889,08/05/2018 04:10:00 AM,031XX W HARRISON ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,true,1134,24,06,1155457,1897193,2018,41.873699424,-87.704705156,"(41.873699424, -87.704705156)"
JB379895,08/05/2018 04:15:00 AM,027XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1135,2,06,1158248,1897253,2018,41.873807522,-87.69445629,"(41.873807522, -87.69445629)"
JB379917,08/05/2018 04:15:00 AM,017XX N LATROBE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2532,37,08B,1141129,1911002,2018,41.911868891,-87.756970639,"(41.911868891, -87.756970639)"
JB379907,08/05/2018 04:18:00 AM,001XX E ILLINOIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1834,42,14,1177267,1903642,2018,41.890929599,-87.624434428,"(41.890929599, -87.624434428)"
JB392936,08/05/2018 04:20:00 AM,006XX N LA SALLE DR,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,1832,42,11,1175023,1904549,2018,41.893469034,-87.632648229,"(41.893469034, -87.632648229)"
JB379910,08/05/2018 04:25:00 AM,014XX W LAKE ST,0460,BATTERY,SIMPLE,STREET,false,false,1224,27,08B,1166633,1901539,2018,41.885393253,-87.663547848,"(41.885393253, -87.663547848)"
JB379893,08/05/2018 04:25:00 AM,028XX W 12TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,false,true,1022,24,08B,1157770,1894297,2018,41.865705709,-87.696291825,"(41.865705709, -87.696291825)"
JB379902,08/05/2018 04:26:00 AM,048XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1533,24,08B,1144200,1895857,2018,41.87025207,-87.746069362,"(41.87025207, -87.746069362)"
